overdriveNo,overdriveNoSrc,bibNo,sierraControlNo,sierraControlNoSrc,sierraFormat_int,sierra_status
"OverDrive, Inc.",037,b113913928,ocn191091593,OCoLC,z,-
"OverDrive, Inc.",037,b115564159,ocn547785472,OCoLC,z,-
"OverDrive, Inc.",037,b116002761,ocn688618477,OCoLC,z,-
"OverDrive, Inc.",037,b116255808,ocm75977941,OCoLC,x,-
"OverDrive, Inc.",037,b116275947,ocn701339285,OCoLC,z,-
"OverDrive, Inc.",037,b116536330,ocn188907483,OCoLC,x,-
"OverDrive, Inc.",037,b116536342,ocn189020070,OCoLC,x,-
"OverDrive, Inc.",037,b116536354,ocn189020257,OCoLC,x,-
"OverDrive, Inc.",037,b116801372,ocn741127535,OCoLC,z,-
9780062071620,037,b11795407x,ocn732881481,OCoLC,z,-
,,b119860120,ocn243862812,OCoLC,z,-
,,b119860168,ocn441457780,OCoLC,z,-
,,b11986017x,ocn451643360,OCoLC,z,-
,,b119860181,ocn455328914,OCoLC,z,-
,,b119860193,ocn455375195,OCoLC,z,-
,,b11986020x,ocn457029017,OCoLC,z,-
,,b119860211,ocn472409616,OCoLC,z,-
,,b119860223,ocn551073426,OCoLC,z,-
,,b119860235,ocn551132684,OCoLC,z,-
,,b119860247,ocm57966200,OCoLC,z,-
,,b119860260,ocn649820412,OCoLC,z,-
,,b119860284,ocn682887579,OCoLC,z,-
,,b119860314,ocn739692585,OCoLC,z,-
,,b119860326,ocn739733836,OCoLC,z,-
,,b119860363,ocm77740426,OCoLC,z,-
,,b119860387,ocn812423919,OCoLC,z,-
,,b119860399,ocn812845689,OCoLC,z,-
,,b119871506,ocn961352600,,x,-
,,b119871919,ocn953847519,,x,-
,,b119872080,ocn960041990,,x,-
,,b119874878,ocn248059344,,x,-
,,b119874891,ocn300289432,,x,-
,,b11987491x,ocn459796603,,x,-
,,b119874921,ocn374599561,,x,-
,,b119874945,ocn646786602,,x,-
,,b119874969,ocn649441776,,x,-
,,b119875068,ocn748385708,,x,-
,,b119876723,ocn252065146,,x,-
,,b119876954,ocn960041123,,x,-
,,b119878069,ocn958455701,,x,-
,,b119878185,ocn960977307,,x,-
,,b119931096,ocn957317979,,x,-
,,b11993145x,ocn962065516,,x,-
,,b11993159x,ocn434006516,,x,-
,,b119931606,ocn471471760,,x,-
,,b11993162x,ocm60609681,,x,-
,,b119931631,ocn642672564,,x,-
,,b119931655,ocn669066916,,x,-
,,b119931710,ocn809669732,,x,-
,,b121767334,ocn809761599,,x,-
,,b121768028,ocn809212663,,x,-
,,b12176820x,ocn809761380,,x,-
,,b121768405,ocn809672036,,x,-
,,b12176882x,ocn813208559,,x,-
,,b121768946,ocn809670443,,x,-
,,b121769124,ocn805723526,,x,-
,,b121769276,ocn809669727,,x,-
,,b121769483,ocn809563546,,x,-
,,b121769641,ocn809761492,,x,-
,,b122109181,ocn809761560,,x,-
,,b122296655,ocn810077581,,x,-
,,b122510355,ocn787851020,,x,-
"OverDrive, Inc.",037,b122934714,ocn176182574,,x,-
